,employer,num_message,timestamp,coef
5825,Charles Brown,32,01-05-2022,0.6699999999999999
6028,Carol Chapman,25,01-05-2022,1.67
5931,Joe Gordon,27,01-05-2022,0.0
272,Jerome Lawrence,40,01-05-2022,0.6699999999999999
1077,David Orr,26,01-05-2022,0.0
440,John Vest,46,01-05-2022,2.67
9196,Marvin Wilson,27,01-05-2022,0.0
3600,William Diaz,34,01-05-2022,0.0
9934,Jeanne Taylor,20,01-05-2022,0.0
2001,Marvin Hansen,33,01-05-2022,0.6699999999999999
8310,Michelle Robbins,36,01-05-2022,0.0
1520,Dorathy Lander,25,01-05-2022,0.0
5568,David Herman,42,01-05-2022,0.6699999999999999
3907,Howard Barnes,33,01-05-2022,0.0
7974,Nellie Alexander,38,01-05-2022,0.0
6224,Shirley Murphree,41,01-05-2022,2.67
1116,Louise Gerber,47,01-05-2022,0.0
937,Lisa Bailes,50,01-05-2022,0.6699999999999999
7897,Sarah Harwood,36,01-05-2022,0.6699999999999999
5722,Irene Semmes,4,01-05-2022,0.0
9555,Gloria Schmitz,20,02-05-2022,0.6699999999999999
3286,Mary Remis,48,02-05-2022,2.67
3467,Emmie Jenkins,32,02-05-2022,0.0
8324,Michelle Robbins,40,02-05-2022,0.6699999999999999
4583,Jacob Cole,37,02-05-2022,0.6699999999999999
7118,Allison Sharkey,47,02-05-2022,1.67
3593,Rogelio Degeyter,29,02-05-2022,0.0
409,John Vest,50,02-05-2022,0.0
4623,Anthony Hankerson,43,02-05-2022,0.0
2827,Lacie Jennings,26,02-05-2022,0.0
7272,Wendy Orr,22,02-05-2022,2.67
8247,Kathryn Ford,27,02-05-2022,1.67
7895,Sarah Harwood,40,02-05-2022,0.6699999999999999
9184,Marvin Wilson,27,02-05-2022,0.0
4026,Thersa Willhite,21,02-05-2022,0.0
7764,Lyndon Falls,35,02-05-2022,0.0
9314,Maxie Banks,6,02-05-2022,0.0
2514,William Dixon,20,02-05-2022,0.0
3981,Howard Barnes,33,02-05-2022,1.67
311,Lisa Johnston,43,02-05-2022,0.6699999999999999
1426,Ann Flanagan,46,02-05-2022,0.0
2462,Brent Degan,26,02-05-2022,0.6699999999999999
4291,Lois Harrington,32,02-05-2022,0.0
4496,Steve Wolcott,27,02-05-2022,1.67
3897,Joyce Osborne,33,02-05-2022,0.0
4332,Ralph Roache,43,02-05-2022,1.67
8052,Laura Acker,40,02-05-2022,0.0
7506,Raymond Trevino,40,02-05-2022,1.67
1527,Dorathy Lander,37,02-05-2022,1.67
3794,Nicole Natalie,47,02-05-2022,0.6699999999999999
8152,Donnie Flores,24,02-05-2022,0.0
1389,Rose Vanatta,30,02-05-2022,0.0
7413,Joseph Pike,46,02-05-2022,0.0
3641,William Diaz,40,02-05-2022,0.6699999999999999
8556,Eliz Urban,22,02-05-2022,1.67
2607,Alice Washington,33,02-05-2022,0.0
5748,Irene Semmes,48,02-05-2022,0.0
4796,Vincent Robertson,39,02-05-2022,0.0
6581,Curtis Davis,33,02-05-2022,1.67
9727,Gary Richardson,49,02-05-2022,0.0
5291,John Galvin,47,02-05-2022,0.0
6404,Anna Lauer,27,02-05-2022,0.0
1885,Dwayne Williams,37,02-05-2022,0.0
2133,Randy Balch,39,02-05-2022,1.67
6342,Ray Zanola,40,02-05-2022,0.6699999999999999
1135,Louise Gerber,36,02-05-2022,0.0
6295,Shirley Murphree,30,02-05-2022,0.0
6691,Elinor Hill,40,02-05-2022,2.67
943,Lisa Bailes,43,02-05-2022,1.67
5548,David Herman,47,02-05-2022,0.0
9891,Jay Traficante,38,02-05-2022,0.6699999999999999
5608,Dorthea Guyton,41,02-05-2022,0.6699999999999999
9909,Jeanne Taylor,6,02-05-2022,1.67
8964,George Chausse,48,02-05-2022,0.0
6010,Carol Chapman,42,02-05-2022,0.6699999999999999
2035,Marvin Hansen,35,02-05-2022,2.67
9,Paul Glass,43,02-05-2022,0.0
5893,Charles Brown,20,02-05-2022,0.0
6168,Robert Locke,6,02-05-2022,1.67
3198,Glenda Boswell,27,02-05-2022,0.0
5375,Jerry Joy,30,02-05-2022,1.67
8748,Larry Williamson,29,02-05-2022,0.0
4877,Lachelle Armstrong,40,02-05-2022,0.6699999999999999
752,Salvatore Ketron,42,02-05-2022,2.67
6781,Ruby Dicus,32,02-05-2022,0.6699999999999999
4916,Natasha Andrews,33,02-05-2022,0.6699999999999999
1902,Evelyn Moran,36,02-05-2022,0.0
6254,Shirley Murphree,23,03-05-2022,0.0
9551,Gloria Schmitz,47,03-05-2022,1.67
1641,Anthony Wright,23,03-05-2022,0.0
8665,Florence Smith,45,03-05-2022,0.0
8896,Jimmy Williamson,33,03-05-2022,0.0
4622,Anthony Hankerson,25,03-05-2022,0.0
8026,Laura Acker,46,03-05-2022,0.0
9240,Max Ceasar,24,03-05-2022,0.0
6126,Robert Locke,46,03-05-2022,0.0
6890,Wilma Harden,48,03-05-2022,1.67
4713,Vincent Robertson,45,03-05-2022,0.0
6040,Carol Chapman,34,03-05-2022,0.6699999999999999
3089,Carlton Peyton,37,03-05-2022,0.0
9646,Amanda Leatham,30,03-05-2022,2.67
2640,Alice Washington,41,03-05-2022,0.6699999999999999
3649,William Diaz,38,03-05-2022,1.67
386,Lisa Johnston,20,03-05-2022,0.0
8325,Michelle Robbins,44,03-05-2022,0.0
5824,Charles Brown,29,03-05-2022,0.0
3569,Rogelio Degeyter,36,03-05-2022,0.0
9975,Jeanne Taylor,47,03-05-2022,0.0
2309,Louis Stater,31,03-05-2022,0.0
727,Salvatore Ketron,38,03-05-2022,0.0
5965,Joe Gordon,46,03-05-2022,0.6699999999999999
9150,Marvin Wilson,41,03-05-2022,0.0
1061,David Orr,34,03-05-2022,0.0
2010,Marvin Hansen,33,03-05-2022,0.6699999999999999
8947,George Chausse,27,03-05-2022,0.6699999999999999
2970,Michael Cuneo,46,03-05-2022,0.0
5656,Dorthea Guyton,40,03-05-2022,0.0
7072,Scott Self,44,03-05-2022,0.6699999999999999
8239,Kathryn Ford,36,03-05-2022,0.0
1801,Dwayne Williams,45,03-05-2022,0.6699999999999999
695,Yvette Dugas,35,03-05-2022,0.0
2534,William Dixon,44,03-05-2022,0.0
909,Lisa Bailes,42,03-05-2022,0.6699999999999999
9753,Gary Richardson,45,03-05-2022,0.0
9395,Maxie Banks,27,03-05-2022,1.67
285,Jerome Lawrence,34,03-05-2022,0.0
6485,Anna Lauer,40,03-05-2022,0.0
7222,Wendy Orr,47,03-05-2022,0.0
4545,Jacob Cole,34,03-05-2022,0.6699999999999999
4357,Ralph Roache,45,03-05-2022,0.6699999999999999
9421,Bruce Makela,42,03-05-2022,0.0
4401,Steve Wolcott,20,03-05-2022,0.6699999999999999
6565,Curtis Davis,41,03-05-2022,0.0
2252,Albert Ortiz,47,03-05-2022,0.0
5179,Thomas Poore,21,03-05-2022,0.0
1202,Jeffrey Crumley,35,03-05-2022,0.6699999999999999
6674,Elinor Hill,46,03-05-2022,0.0
81,Paul Glass,38,03-05-2022,0.0
7843,Sarah Harwood,48,03-05-2022,0.0
4283,Lois Harrington,36,03-05-2022,0.0
881,Lynne Dozier,7,03-05-2022,0.6699999999999999
3248,Mary Remis,36,03-05-2022,0.0
6786,Ruby Dicus,39,03-05-2022,0.0
7179,Allison Sharkey,50,03-05-2022,0.6699999999999999
1339,Rose Vanatta,23,03-05-2022,0.0
7756,Lyndon Falls,44,03-05-2022,1.67
7678,Robert Bennett,34,03-05-2022,0.0
1781,Kenneth Harvey,30,03-05-2022,0.0
2753,Janel Peeler,36,03-05-2022,0.0
1432,Ann Flanagan,22,03-05-2022,0.6699999999999999
2138,Randy Balch,47,03-05-2022,1.67
5335,Jerry Joy,25,03-05-2022,1.67
1934,Evelyn Moran,23,03-05-2022,0.0
6335,Ray Zanola,44,03-05-2022,2.67
1143,Louise Gerber,29,03-05-2022,0.6699999999999999
4984,Natasha Andrews,21,03-05-2022,0.6699999999999999
8914,George Chausse,44,04-05-2022,0.0
3293,Mary Remis,20,04-05-2022,0.0
361,Lisa Johnston,45,04-05-2022,0.0
8801,Jimmy Williamson,44,04-05-2022,0.6699999999999999
3067,Carlton Peyton,38,04-05-2022,0.0
8572,Eliz Urban,49,04-05-2022,0.0
8498,Megan Elizondo,28,04-05-2022,0.0
3382,Priscilla Boyd,33,04-05-2022,0.6699999999999999
3119,Glenda Boswell,50,04-05-2022,2.67
8772,Larry Williamson,34,04-05-2022,0.0
7251,Wendy Orr,31,04-05-2022,1.67
8296,Kathryn Ford,47,04-05-2022,2.67
5005,Linda Valdez,40,04-05-2022,0.0
1200,Jeffrey Crumley,43,04-05-2022,1.67
6531,Curtis Davis,38,04-05-2022,0.6699999999999999
5285,John Galvin,24,04-05-2022,0.0
6461,Anna Lauer,50,04-05-2022,0.0
6346,Ray Zanola,33,04-05-2022,0.0
920,Lisa Bailes,35,04-05-2022,0.0
6864,Wilma Harden,32,04-05-2022,0.0
6244,Shirley Murphree,44,04-05-2022,1.67
5545,David Herman,38,04-05-2022,0.6699999999999999
6127,Robert Locke,24,04-05-2022,0.0
6041,Carol Chapman,49,04-05-2022,0.0
5664,Dorthea Guyton,25,04-05-2022,1.67
5950,Joe Gordon,47,04-05-2022,0.0
1065,David Orr,30,04-05-2022,1.67
5714,Irene Semmes,38,04-05-2022,0.6699999999999999
5437,David Lott,31,04-05-2022,1.67
4869,Lachelle Armstrong,48,04-05-2022,0.6699999999999999
6993,Rafael Lampe,35,04-05-2022,0.6699999999999999
4748,Vincent Robertson,44,04-05-2022,0.0
3724,Nicole Natalie,36,04-05-2022,0.0
1555,Dorathy Lander,26,04-05-2022,0.0
8094,Laura Acker,37,04-05-2022,0.0
3995,Howard Barnes,46,04-05-2022,1.67
7753,Lyndon Falls,35,04-05-2022,0.0
4138,Tonya Rhodes,46,04-05-2022,0.0
4220,Lois Harrington,39,04-05-2022,0.0
1433,Ann Flanagan,44,04-05-2022,0.0
7550,Raymond Trevino,39,04-05-2022,0.0
4326,Ralph Roache,23,04-05-2022,1.67
4434,Steve Wolcott,31,04-05-2022,0.6699999999999999
7339,Barry Powell,25,04-05-2022,0.0
654,Yvette Dugas,31,04-05-2022,0.6699999999999999
4581,Jacob Cole,39,04-05-2022,1.67
7164,Allison Sharkey,25,04-05-2022,0.6699999999999999
4618,Anthony Hankerson,41,04-05-2022,1.67
7018,Scott Self,40,04-05-2022,0.0
3503,Rogelio Degeyter,32,04-05-2022,1.67
1734,Kenneth Harvey,38,04-05-2022,0.0
7860,Sarah Harwood,22,04-05-2022,0.0
2078,Marvin Hansen,40,04-05-2022,0.6699999999999999
9471,Bruce Makela,24,04-05-2022,1.67
2555,William Dixon,48,04-05-2022,0.0
2245,Albert Ortiz,45,04-05-2022,0.6699999999999999
9021,Ann Gardner,29,04-05-2022,0.0
9372,Maxie Banks,45,04-05-2022,0.6699999999999999
2101,Randy Balch,34,04-05-2022,1.67
9219,Max Ceasar,27,04-05-2022,0.0
2435,Brent Degan,20,04-05-2022,1.67
2813,Lacie Jennings,31,04-05-2022,0.0
9889,Jay Traficante,39,04-05-2022,0.0
9692,Amanda Leatham,37,04-05-2022,0.0
158,Sandra Cox,4,04-05-2022,0.0
2648,Alice Washington,49,04-05-2022,0.0
2344,Louis Stater,38,04-05-2022,2.67
9548,Gloria Schmitz,28,04-05-2022,0.0
1961,Evelyn Moran,32,04-05-2022,0.0
28,Paul Glass,26,04-05-2022,0.6699999999999999
4329,Ralph Roache,21,05-05-2022,0.0
6193,Robert Locke,48,05-05-2022,0.0
5234,John Galvin,28,05-05-2022,0.0
6572,Curtis Davis,45,05-05-2022,0.6699999999999999
8643,Florence Smith,50,05-05-2022,0.0
1764,Kenneth Harvey,31,05-05-2022,0.0
4053,Thersa Willhite,37,05-05-2022,0.6699999999999999
9618,Amanda Leatham,25,05-05-2022,0.6699999999999999
5744,Irene Semmes,47,05-05-2022,0.0
7868,Sarah Harwood,42,05-05-2022,0.6699999999999999
2433,Brent Degan,45,05-05-2022,0.6699999999999999
1404,Ann Flanagan,42,05-05-2022,0.6699999999999999
4279,Lois Harrington,39,05-05-2022,0.6699999999999999
6044,Carol Chapman,33,05-05-2022,1.67
5600,Dorthea Guyton,21,05-05-2022,1.67
969,Lisa Bailes,36,05-05-2022,0.0
367,Lisa Johnston,25,05-05-2022,0.0
4121,Tonya Rhodes,32,05-05-2022,0.6699999999999999
1084,David Orr,36,05-05-2022,0.6699999999999999
5546,David Herman,24,05-05-2022,0.0
6334,Ray Zanola,46,05-05-2022,0.6699999999999999
9389,Maxie Banks,20,05-05-2022,0.6699999999999999
6742,Ruby Dicus,25,05-05-2022,2.67
3411,Emmie Jenkins,23,05-05-2022,0.6699999999999999
6608,Elinor Hill,33,05-05-2022,0.0
5181,Thomas Poore,31,05-05-2022,0.6699999999999999
8425,Megan Elizondo,5,05-05-2022,0.6699999999999999
9051,Ann Gardner,38,05-05-2022,0.0
5945,Joe Gordon,22,05-05-2022,0.0
8585,Eliz Urban,47,05-05-2022,0.6699999999999999
5007,Linda Valdez,48,05-05-2022,0.0
4959,Natasha Andrews,33,05-05-2022,0.0
804,Lynne Dozier,35,05-05-2022,0.6699999999999999
4802,Lachelle Armstrong,39,05-05-2022,0.0
4527,Jacob Cole,44,05-05-2022,1.67
5855,Charles Brown,44,05-05-2022,0.0
3860,Joyce Osborne,45,05-05-2022,0.6699999999999999
6408,Anna Lauer,36,05-05-2022,0.0
8114,Donnie Flores,33,05-05-2022,0.6699999999999999
104,Sandra Cox,20,05-05-2022,1.67
9766,Gary Richardson,45,05-05-2022,0.0
5341,Jerry Joy,43,05-05-2022,0.0
8098,Laura Acker,33,05-05-2022,2.67
4753,Vincent Robertson,36,05-05-2022,0.6699999999999999
6298,Shirley Murphree,21,05-05-2022,0.0
7174,Allison Sharkey,42,05-05-2022,0.0
7021,Scott Self,29,05-05-2022,0.6699999999999999
1307,Rose Vanatta,37,05-05-2022,0.6699999999999999
1930,Evelyn Moran,40,05-05-2022,1.67
699,Yvette Dugas,26,05-05-2022,0.6699999999999999
2329,Louis Stater,42,05-05-2022,0.0
5402,David Lott,45,05-05-2022,2.67
1805,Dwayne Williams,38,05-05-2022,1.67
7310,Barry Powell,22,05-05-2022,2.67
2225,Albert Ortiz,48,05-05-2022,0.0
7958,Nellie Alexander,20,05-05-2022,0.0
8808,Jimmy Williamson,35,05-05-2022,0.0
9442,Bruce Makela,30,05-05-2022,0.0
7414,Joseph Pike,32,05-05-2022,1.67
9148,Marvin Wilson,27,05-05-2022,0.0
3992,Howard Barnes,28,05-05-2022,0.0
6905,Rafael Lampe,21,05-05-2022,0.0
1501,Dorathy Lander,36,05-05-2022,0.0
9223,Max Ceasar,40,05-05-2022,0.0
8759,Larry Williamson,31,05-05-2022,1.67
8153,Donnie Flores,34,06-05-2022,0.0
864,Lynne Dozier,37,06-05-2022,1.67
9310,Maxie Banks,27,06-05-2022,0.6699999999999999
6559,Curtis Davis,30,06-05-2022,1.67
6659,Elinor Hill,48,06-05-2022,1.67
3702,Nicole Natalie,28,06-05-2022,0.0
9110,Marvin Wilson,50,06-05-2022,1.67
8452,Megan Elizondo,39,06-05-2022,0.0
3920,Howard Barnes,38,06-05-2022,0.0
1111,Louise Gerber,28,06-05-2022,0.0
9259,Max Ceasar,20,06-05-2022,1.67
5176,Thomas Poore,43,06-05-2022,0.6699999999999999
8371,Michelle Robbins,28,06-05-2022,2.67
4682,Anthony Hankerson,45,06-05-2022,0.0
6166,Robert Locke,39,06-05-2022,1.67
3442,Emmie Jenkins,47,06-05-2022,0.6699999999999999
4055,Thersa Willhite,22,06-05-2022,1.67
5542,David Herman,32,06-05-2022,1.67
1496,Ann Flanagan,25,06-05-2022,0.6699999999999999
6417,Anna Lauer,46,06-05-2022,0.0
540,Leah Mendoza,42,06-05-2022,0.0
6258,Shirley Murphree,28,06-05-2022,0.6699999999999999
1597,Dorathy Lander,32,06-05-2022,0.6699999999999999
3544,Rogelio Degeyter,40,06-05-2022,0.0
3664,William Diaz,47,06-05-2022,0.0
7722,Lyndon Falls,26,06-05-2022,2.67
3261,Mary Remis,38,06-05-2022,0.0
995,Lisa Bailes,29,06-05-2022,2.67
2425,Brent Degan,40,06-05-2022,0.0
9951,Jeanne Taylor,31,06-05-2022,1.67
6828,Wilma Harden,42,06-05-2022,0.0
626,Yvette Dugas,44,06-05-2022,0.0
3199,Glenda Boswell,37,06-05-2022,0.0
2293,Albert Ortiz,20,06-05-2022,0.6699999999999999
295,Jerome Lawrence,5,06-05-2022,0.6699999999999999
4451,Steve Wolcott,26,06-05-2022,0.0
8789,Larry Williamson,5,06-05-2022,0.0
4995,Natasha Andrews,38,06-05-2022,0.0
2386,Louis Stater,35,06-05-2022,0.0
4526,Jacob Cole,26,06-05-2022,1.67
5865,Charles Brown,41,06-05-2022,0.0
6957,Rafael Lampe,37,06-05-2022,0.0
1052,David Orr,43,06-05-2022,0.0
2961,Michael Cuneo,46,06-05-2022,0.0
9493,Bruce Makela,20,06-05-2022,0.0
1297,Jeffrey Crumley,32,06-05-2022,0.6699999999999999
7166,Allison Sharkey,45,06-05-2022,0.0
7060,Scott Self,50,06-05-2022,0.0
5762,Irene Semmes,35,06-05-2022,0.6699999999999999
9569,Gloria Schmitz,30,06-05-2022,0.0
8939,George Chausse,38,06-05-2022,0.0
8656,Florence Smith,32,06-05-2022,0.0
1687,Anthony Wright,22,06-05-2022,1.67
7556,Raymond Trevino,36,06-05-2022,0.6699999999999999
6752,Ruby Dicus,50,06-05-2022,1.67
5633,Dorthea Guyton,49,06-05-2022,1.67
5052,Linda Valdez,26,06-05-2022,0.6699999999999999
338,Lisa Johnston,26,06-05-2022,1.67
4269,Lois Harrington,24,06-05-2022,0.0
9059,Ann Gardner,41,06-05-2022,0.0
9895,Jay Traficante,44,06-05-2022,0.0
3323,Priscilla Boyd,39,06-05-2022,0.6699999999999999
4172,Tonya Rhodes,46,06-05-2022,0.0
1784,Kenneth Harvey,22,06-05-2022,0.6699999999999999
6084,Carol Chapman,25,06-05-2022,1.67
9653,Amanda Leatham,31,06-05-2022,0.0
2044,Marvin Hansen,37,06-05-2022,1.67
6620,Elinor Hill,23,07-05-2022,0.0
4114,Tonya Rhodes,22,07-05-2022,0.6699999999999999
6419,Anna Lauer,45,07-05-2022,0.0
4821,Lachelle Armstrong,32,07-05-2022,0.0
3717,Nicole Natalie,21,07-05-2022,1.67
7250,Wendy Orr,40,07-05-2022,0.0
4540,Jacob Cole,47,07-05-2022,0.0
5068,Linda Valdez,26,07-05-2022,1.67
8120,Donnie Flores,43,07-05-2022,0.0
7147,Allison Sharkey,34,07-05-2022,0.6699999999999999
2357,Louis Stater,40,07-05-2022,1.67
1204,Jeffrey Crumley,40,07-05-2022,0.0
1462,Ann Flanagan,20,07-05-2022,1.67
4084,Thersa Willhite,37,07-05-2022,0.0
9755,Gary Richardson,22,07-05-2022,0.0
8025,Laura Acker,34,07-05-2022,0.0
9638,Amanda Leatham,25,07-05-2022,0.0
6779,Ruby Dicus,33,07-05-2022,0.0
843,Lynne Dozier,31,07-05-2022,0.0
7460,Joseph Pike,48,07-05-2022,0.0
6550,Curtis Davis,26,07-05-2022,0.0
4363,Ralph Roache,32,07-05-2022,2.67
173,Sandra Cox,34,07-05-2022,1.67
2447,Brent Degan,41,07-05-2022,2.67
7324,Barry Powell,20,07-05-2022,0.0
7734,Lyndon Falls,24,07-05-2022,0.0
7816,Sarah Harwood,33,07-05-2022,1.67
7930,Nellie Alexander,50,07-05-2022,0.0
4923,Natasha Andrews,5,07-05-2022,0.0
2258,Albert Ortiz,26,07-05-2022,0.0
6880,Wilma Harden,45,07-05-2022,2.67
7581,Raymond Trevino,50,07-05-2022,0.6699999999999999
4258,Lois Harrington,27,07-05-2022,1.67
5297,John Galvin,41,07-05-2022,0.0
510,Leah Mendoza,28,07-05-2022,0.0
4472,Steve Wolcott,39,07-05-2022,1.67
5316,Jerry Joy,6,07-05-2022,0.0
3363,Priscilla Boyd,47,07-05-2022,0.6699999999999999
9164,Marvin Wilson,29,07-05-2022,0.0
5671,Dorthea Guyton,49,07-05-2022,1.67
6261,Shirley Murphree,25,07-05-2022,0.6699999999999999
9851,Jay Traficante,24,07-05-2022,0.0
418,John Vest,29,07-05-2022,0.0
3572,Rogelio Degeyter,39,07-05-2022,0.0
8361,Michelle Robbins,48,07-05-2022,0.0
8667,Florence Smith,50,07-05-2022,1.67
1655,Anthony Wright,47,07-05-2022,2.67
8559,Eliz Urban,44,07-05-2022,0.0
6065,Carol Chapman,38,07-05-2022,0.0
221,Jerome Lawrence,43,07-05-2022,0.0
1793,Kenneth Harvey,27,07-05-2022,0.6699999999999999
6119,Robert Locke,50,07-05-2022,0.0
958,Lisa Bailes,43,07-05-2022,1.67
8455,Megan Elizondo,41,07-05-2022,0.0
3416,Emmie Jenkins,32,07-05-2022,0.0
1119,Louise Gerber,38,07-05-2022,1.67
1948,Evelyn Moran,50,07-05-2022,0.6699999999999999
37,Paul Glass,7,07-05-2022,0.0
398,Lisa Johnston,48,07-05-2022,0.0
8254,Kathryn Ford,21,07-05-2022,1.67
2006,Marvin Hansen,21,07-05-2022,1.67
3255,Mary Remis,43,07-05-2022,0.0
3148,Glenda Boswell,21,07-05-2022,0.0
1055,David Orr,36,07-05-2022,0.0
1809,Dwayne Williams,42,07-05-2022,0.0
2106,Randy Balch,37,07-05-2022,0.6699999999999999
8814,Jimmy Williamson,26,07-05-2022,0.0
6321,Ray Zanola,48,07-05-2022,0.6699999999999999
5768,Irene Semmes,21,07-05-2022,0.6699999999999999
8932,George Chausse,31,07-05-2022,1.67
9994,Jeanne Taylor,37,07-05-2022,0.6699999999999999
5417,David Lott,31,07-05-2022,0.6699999999999999
9313,Maxie Banks,35,08-05-2022,0.0
4131,Tonya Rhodes,49,08-05-2022,0.0
4743,Vincent Robertson,27,08-05-2022,0.6699999999999999
6684,Elinor Hill,46,08-05-2022,0.6699999999999999
373,Lisa Johnston,45,08-05-2022,1.67
6963,Rafael Lampe,41,08-05-2022,0.6699999999999999
8506,Eliz Urban,31,08-05-2022,0.0
1196,Louise Gerber,37,08-05-2022,1.67
1728,Kenneth Harvey,36,08-05-2022,0.6699999999999999
2978,Michael Cuneo,35,08-05-2022,0.0
9700,Gary Richardson,22,08-05-2022,1.67
5520,David Herman,32,08-05-2022,2.67
4691,Anthony Hankerson,47,08-05-2022,0.6699999999999999
1471,Ann Flanagan,25,08-05-2022,1.67
8414,Megan Elizondo,50,08-05-2022,0.6699999999999999
2214,Albert Ortiz,43,08-05-2022,0.0
2729,Janel Peeler,40,08-05-2022,0.6699999999999999
6196,Robert Locke,35,08-05-2022,0.0
7765,Lyndon Falls,23,08-05-2022,0.6699999999999999
1937,Evelyn Moran,50,08-05-2022,0.0
3320,Priscilla Boyd,21,08-05-2022,1.67
2465,Brent Degan,30,08-05-2022,0.0
1699,Anthony Wright,48,08-05-2022,0.0
9608,Amanda Leatham,30,08-05-2022,0.0
4439,Steve Wolcott,31,08-05-2022,0.6699999999999999
6865,Wilma Harden,44,08-05-2022,0.0
12,Paul Glass,28,08-05-2022,0.0
5695,Dorthea Guyton,41,08-05-2022,0.0
4518,Jacob Cole,31,08-05-2022,0.6699999999999999
2854,Lacie Jennings,35,08-05-2022,0.6699999999999999
8721,Larry Williamson,40,08-05-2022,1.67
5960,Joe Gordon,20,08-05-2022,0.6699999999999999
1278,Jeffrey Crumley,25,08-05-2022,2.67
5703,Irene Semmes,34,08-05-2022,0.0
1074,David Orr,4,08-05-2022,0.0
3268,Mary Remis,48,08-05-2022,0.6699999999999999
9044,Ann Gardner,21,08-05-2022,0.0
601,Yvette Dugas,20,08-05-2022,0.6699999999999999
6771,Ruby Dicus,37,08-05-2022,0.0
597,Leah Mendoza,5,08-05-2022,0.0
3113,Glenda Boswell,27,08-05-2022,1.67
7593,Raymond Trevino,24,08-05-2022,0.0
8853,Jimmy Williamson,49,08-05-2022,0.0
7616,Robert Bennett,48,08-05-2022,0.0
4239,Lois Harrington,33,08-05-2022,0.0
4867,Lachelle Armstrong,26,08-05-2022,1.67
5857,Charles Brown,23,08-05-2022,0.0
7835,Sarah Harwood,30,08-05-2022,0.0
7092,Scott Self,30,08-05-2022,0.0
6418,Anna Lauer,50,08-05-2022,0.0
6376,Ray Zanola,30,08-05-2022,0.0
856,Lynne Dozier,50,08-05-2022,0.6699999999999999
3551,Rogelio Degeyter,32,08-05-2022,0.6699999999999999
8303,Michelle Robbins,22,08-05-2022,0.0
6263,Shirley Murphree,38,08-05-2022,0.0
8006,Laura Acker,49,08-05-2022,0.0
1540,Dorathy Lander,21,08-05-2022,0.0
8177,Donnie Flores,44,08-05-2022,1.67
5477,David Lott,32,08-05-2022,0.0
3949,Howard Barnes,30,08-05-2022,0.0
903,Lisa Bailes,48,08-05-2022,0.0
2533,William Dixon,33,08-05-2022,0.0
447,John Vest,42,08-05-2022,0.0
4041,Thersa Willhite,24,08-05-2022,0.0
5230,John Galvin,36,08-05-2022,0.0
9147,Marvin Wilson,21,08-05-2022,1.67
8258,Kathryn Ford,28,08-05-2022,0.0
5391,Jerry Joy,28,08-05-2022,0.0
3591,Rogelio Degeyter,37,09-05-2022,0.0
1857,Dwayne Williams,27,09-05-2022,0.0
2281,Albert Ortiz,30,09-05-2022,0.0
2414,Brent Degan,45,09-05-2022,1.67
