,employer,chill_app,time_chill,work_app,time_work,timestamp,coef
322,David Orr,Twitch,2.2,Teams,7.8,06-05-2022,1.5
1719,Irene Semmes,YouTube,3.6,Teams,6.4,06-05-2022,1.0
943,Glenda Boswell,Яндекс.Музыка,2.8,PyCharm,7.2,06-05-2022,0.5
2447,Donnie Flores,Twitch,2.5,Git,7.5,06-05-2022,1.0
2292,Robert Bennett,Яндекс.Музыка,3.7,Teams,6.3,06-05-2022,2.0
618,Marvin Hansen,YouTube,3.0,Git,7.0,06-05-2022,0.5
2502,Michelle Robbins,Яндекс.Музыка,7.4,Teams,2.6,06-05-2022,1.0
2252,Raymond Trevino,Яндекс.Музыка,2.3,PgAdmin4,7.7,06-05-2022,1.0
2397,Nellie Alexander,YouTube,3.9,PgAdmin4,6.1,06-05-2022,0.5
680,Albert Ortiz,Яндекс.Музыка,3.9,Teams,6.1,06-05-2022,1.0
1593,Jerry Joy,Яндекс.Музыка,2.8,Teams,7.2,07-05-2022,1.0
1212,Thersa Willhite,YouTube,3.9,PgAdmin4,6.1,07-05-2022,1.0
2987,Jeanne Taylor,Яндекс.Музыка,3.2,Git,6.8,07-05-2022,2.0
767,William Dixon,YouTube,3.4,PyCharm,6.6,07-05-2022,0.5
624,Marvin Hansen,Twitch,2.1,PgAdmin4,7.9,07-05-2022,2.0
1157,Joyce Osborne,YouTube,3.9,Teams,6.1,07-05-2022,1.0
1021,Emmie Jenkins,Яндекс.Музыка,3.0,Git,7.0,07-05-2022,0.0
1253,Tonya Rhodes,Twitch,8.8,PyCharm,1.2,07-05-2022,0.5
364,Jeffrey Crumley,Яндекс.Музыка,2.6,PgAdmin4,7.4,07-05-2022,1.0
2942,Jay Traficante,Twitch,2.7,Git,7.3,07-05-2022,1.0
2834,Bruce Makela,Яндекс.Музыка,3.6,PyCharm,6.4,07-05-2022,2.0
2667,Jimmy Williamson,YouTube,2.0,PgAdmin4,8.0,07-05-2022,1.0
2526,Megan Elizondo,Twitch,3.4,PyCharm,6.6,07-05-2022,1.0
960,Mary Remis,Яндекс.Музыка,3.3,PyCharm,6.7,07-05-2022,0.5
2162,Wendy Orr,Яндекс.Музыка,3.0,Git,7.0,07-05-2022,1.5
1376,Jacob Cole,Twitch,2.0,Teams,8.0,07-05-2022,3.0
1642,David Lott,YouTube,2.8,Teams,7.2,07-05-2022,1.5
953,Glenda Boswell,Twitch,3.2,PgAdmin4,6.8,07-05-2022,0.5
1961,Curtis Davis,Яндекс.Музыка,3.8,PyCharm,6.2,07-05-2022,1.0
182,Yvette Dugas,Яндекс.Музыка,2.8,PyCharm,7.2,07-05-2022,0.5
2935,Gary Richardson,YouTube,2.5,Git,7.5,07-05-2022,1.0
2908,Amanda Leatham,YouTube,3.1,Teams,6.9,08-05-2022,0.0
1650,David Herman,YouTube,3.6,Git,6.4,08-05-2022,1.5
1690,Dorthea Guyton,Яндекс.Музыка,7.8,Git,2.2,08-05-2022,0.5
1206,Thersa Willhite,Яндекс.Музыка,2.4,PyCharm,7.6,08-05-2022,0.5
1727,Irene Semmes,YouTube,2.0,PyCharm,8.0,08-05-2022,1.5
1114,Nicole Natalie,Яндекс.Музыка,8.7,Teams,1.3,08-05-2022,1.0
1380,Anthony Hankerson,Twitch,2.1,Git,7.9,08-05-2022,1.0
1258,Tonya Rhodes,YouTube,3.1,Git,6.9,08-05-2022,0.5
813,Janel Peeler,Яндекс.Музыка,2.3,PyCharm,7.7,08-05-2022,1.0
1490,Natasha Andrews,Twitch,3.9,PgAdmin4,6.1,08-05-2022,1.0
1920,Anna Lauer,Яндекс.Музыка,2.5,Teams,7.5,08-05-2022,1.5
744,Brent Degan,Яндекс.Музыка,6.9,Git,3.1,08-05-2022,1.0
2637,Larry Williamson,Twitch,3.0,Git,7.0,09-05-2022,1.0
650,Randy Balch,YouTube,3.0,Git,7.0,09-05-2022,1.0
55,Sandra Cox,YouTube,3.0,PyCharm,7.0,09-05-2022,0.5
946,Glenda Boswell,YouTube,3.9,Git,6.1,09-05-2022,0.5
2573,Eliz Urban,Twitch,2.4,Teams,7.6,09-05-2022,1.0
1710,Irene Semmes,Twitch,3.6,Git,6.4,09-05-2022,2.0
612,Marvin Hansen,Twitch,2.6,PyCharm,7.4,09-05-2022,0.0
1893,Ray Zanola,Twitch,3.9,PyCharm,6.1,09-05-2022,0.5
1877,Shirley Murphree,YouTube,2.8,PyCharm,7.2,09-05-2022,0.5
1853,Robert Locke,YouTube,3.6,PgAdmin4,6.4,09-05-2022,2.5
76,Jerome Lawrence,YouTube,2.9,PyCharm,7.1,09-05-2022,0.5
996,Priscilla Boyd,YouTube,6.9,Git,3.1,09-05-2022,1.5
120,John Vest,Twitch,3.8,PgAdmin4,6.2,09-05-2022,1.0
760,William Dixon,Яндекс.Музыка,3.5,Teams,6.5,09-05-2022,0.5
2828,Bruce Makela,Twitch,2.5,PyCharm,7.5,09-05-2022,0.5
781,Alice Washington,YouTube,7.3,Git,2.7,09-05-2022,1.5
1010,Priscilla Boyd,Яндекс.Музыка,6.8,Teams,3.2,10-05-2022,1.5
708,Louis Stater,Яндекс.Музыка,3.0,Teams,7.0,10-05-2022,1.5
655,Randy Balch,YouTube,3.3,PgAdmin4,6.7,10-05-2022,1.5
977,Mary Remis,YouTube,3.2,PgAdmin4,6.8,10-05-2022,1.5
1213,Thersa Willhite,Яндекс.Музыка,2.3,Teams,7.7,10-05-2022,1.5
572,Evelyn Moran,YouTube,2.1,PyCharm,7.9,10-05-2022,2.5
284,Lisa Bailes,YouTube,3.4,Git,6.6,10-05-2022,0.0
1445,Lachelle Armstrong,Twitch,3.3,Git,6.7,10-05-2022,2.0
2662,Jimmy Williamson,Яндекс.Музыка,3.1,PyCharm,6.9,10-05-2022,1.0
2625,Larry Williamson,Twitch,3.4,Git,6.6,10-05-2022,2.0
2496,Michelle Robbins,YouTube,3.0,PgAdmin4,7.0,10-05-2022,0.5
2488,Kathryn Ford,Яндекс.Музыка,3.3,Teams,6.7,10-05-2022,0.5
2376,Nellie Alexander,Twitch,2.0,Git,8.0,10-05-2022,1.5
68,Jerome Lawrence,Twitch,2.7,PgAdmin4,7.3,10-05-2022,0.5
2291,Robert Bennett,Twitch,3.7,PyCharm,6.3,10-05-2022,0.0
1936,Anna Lauer,Twitch,2.9,Teams,7.1,10-05-2022,1.5
1833,Robert Locke,YouTube,2.2,Teams,7.8,10-05-2022,1.0
1738,Irene Semmes,Twitch,3.7,Git,6.3,10-05-2022,0.5
1663,David Herman,Яндекс.Музыка,2.3,PgAdmin4,7.7,10-05-2022,0.5
1607,Jerry Joy,YouTube,2.6,PgAdmin4,7.4,10-05-2022,2.5
2224,Joseph Pike,YouTube,2.1,PgAdmin4,7.9,10-05-2022,1.0
1474,Natasha Andrews,YouTube,7.4,PgAdmin4,2.6,10-05-2022,2.0
2347,Sarah Harwood,Яндекс.Музыка,3.5,Git,6.5,11-05-2022,1.5
2175,Wendy Orr,Яндекс.Музыка,9.0,Teams,1.0,11-05-2022,0.5
2474,Kathryn Ford,YouTube,3.5,Git,6.5,11-05-2022,0.5
2495,Michelle Robbins,Twitch,6.5,PyCharm,3.5,11-05-2022,1.5
923,Carlton Peyton,Яндекс.Музыка,2.9,Git,7.1,11-05-2022,1.0
622,Marvin Hansen,YouTube,2.1,Git,7.9,11-05-2022,1.0
2702,Ann Gardner,Яндекс.Музыка,2.8,PgAdmin4,7.2,11-05-2022,0.5
107,Lisa Johnston,Twitch,2.3,Teams,7.7,11-05-2022,1.0
29,Paul Glass,Twitch,3.6,Teams,6.4,11-05-2022,0.5
1006,Priscilla Boyd,YouTube,2.4,Git,7.6,11-05-2022,2.0
1826,Carol Chapman,Twitch,6.3,PgAdmin4,3.7,11-05-2022,1.0
1031,Emmie Jenkins,Яндекс.Музыка,2.9,PyCharm,7.1,11-05-2022,1.5
1072,Rogelio Degeyter,Twitch,3.0,Teams,7.0,11-05-2022,2.0
488,Anthony Wright,Twitch,3.1,Teams,6.9,11-05-2022,1.5
156,Leah Mendoza,Twitch,2.5,PgAdmin4,7.5,11-05-2022,0.5
137,John Vest,Twitch,4.0,PyCharm,6.0,11-05-2022,1.5
410,Rose Vanatta,Яндекс.Музыка,3.9,PyCharm,6.1,11-05-2022,1.5
1536,Thomas Poore,Яндекс.Музыка,2.3,Git,7.7,11-05-2022,0.5
1163,Joyce Osborne,Яндекс.Музыка,6.1,PgAdmin4,3.9,11-05-2022,2.5
373,Jeffrey Crumley,YouTube,3.2,PgAdmin4,6.8,11-05-2022,1.0
2997,Jeanne Taylor,Twitch,3.4,PyCharm,6.6,12-05-2022,0.5
359,Louise Gerber,Яндекс.Музыка,3.7,Git,6.3,12-05-2022,1.0
703,Louis Stater,Twitch,2.5,Teams,7.5,12-05-2022,1.5
1280,Lois Harrington,Twitch,8.3,Git,1.7,12-05-2022,0.5
1421,Vincent Robertson,Яндекс.Музыка,3.7,Git,6.3,12-05-2022,0.5
2640,Jimmy Williamson,Twitch,2.7,PyCharm,7.3,12-05-2022,2.0
636,Randy Balch,Яндекс.Музыка,2.5,PgAdmin4,7.5,12-05-2022,1.5
6,Paul Glass,Яндекс.Музыка,3.1,Teams,6.9,12-05-2022,3.0
2082,Rafael Lampe,Яндекс.Музыка,2.5,PyCharm,7.5,12-05-2022,1.0
2675,George Chausse,Яндекс.Музыка,9.0,Git,1.0,12-05-2022,0.5
1744,Charles Brown,YouTube,3.1,PgAdmin4,6.9,12-05-2022,0.5
2708,Ann Gardner,Яндекс.Музыка,2.9,Teams,7.1,12-05-2022,0.5
1882,Shirley Murphree,Twitch,3.5,Teams,6.5,12-05-2022,1.0
1639,David Lott,Twitch,3.4,PyCharm,6.6,12-05-2022,2.0
1843,Robert Locke,Twitch,2.1,Teams,7.9,12-05-2022,1.0
2813,Maxie Banks,Яндекс.Музыка,3.6,Git,6.4,12-05-2022,0.5
2875,Gloria Schmitz,Яндекс.Музыка,3.8,PgAdmin4,6.2,12-05-2022,2.0
2932,Gary Richardson,YouTube,2.9,Teams,7.1,12-05-2022,1.5
454,Dorathy Lander,YouTube,2.4,PgAdmin4,7.6,12-05-2022,1.0
577,Evelyn Moran,YouTube,3.8,PyCharm,6.2,13-05-2022,2.5
2642,Jimmy Williamson,YouTube,2.5,Git,7.5,13-05-2022,0.5
2962,Jay Traficante,Яндекс.Музыка,3.0,PgAdmin4,7.0,13-05-2022,1.5
1358,Jacob Cole,Twitch,3.0,PyCharm,7.0,13-05-2022,2.0
363,Jeffrey Crumley,Яндекс.Музыка,2.6,PyCharm,7.4,13-05-2022,1.0
485,Anthony Wright,Twitch,3.1,PgAdmin4,6.9,13-05-2022,2.0
2754,Marvin Wilson,YouTube,2.8,PyCharm,7.2,13-05-2022,1.5
1612,Jerry Joy,Twitch,2.5,PyCharm,7.5,13-05-2022,0.5
1756,Charles Brown,Twitch,2.2,PgAdmin4,7.8,13-05-2022,1.0
1994,Elinor Hill,YouTube,8.9,Git,1.1,13-05-2022,1.0
846,Lacie Jennings,Twitch,3.1,PgAdmin4,6.9,13-05-2022,1.0
1834,Robert Locke,Twitch,3.7,Git,6.3,13-05-2022,1.0
2114,Scott Self,Яндекс.Музыка,2.1,PyCharm,7.9,13-05-2022,2.0
1092,William Diaz,Twitch,2.2,PgAdmin4,7.8,13-05-2022,1.5
1283,Lois Harrington,Twitch,6.5,PyCharm,3.5,13-05-2022,1.5
908,Carlton Peyton,Яндекс.Музыка,2.8,Git,7.2,13-05-2022,1.0
1166,Joyce Osborne,YouTube,8.7,Teams,1.3,13-05-2022,0.0
1621,David Lott,Яндекс.Музыка,2.8,Git,7.2,14-05-2022,1.0
1219,Thersa Willhite,Яндекс.Музыка,4.0,PyCharm,6.0,14-05-2022,1.0
2806,Maxie Banks,Яндекс.Музыка,2.3,PgAdmin4,7.7,14-05-2022,0.5
1603,Jerry Joy,Twitch,3.0,PyCharm,7.0,14-05-2022,0.5
1860,Shirley Murphree,YouTube,2.8,Teams,7.2,14-05-2022,1.0
584,Evelyn Moran,Яндекс.Музыка,3.7,PgAdmin4,6.3,14-05-2022,1.0
1910,Ray Zanola,YouTube,3.0,Git,7.0,14-05-2022,0.5
1487,Natasha Andrews,Twitch,3.2,PgAdmin4,6.8,14-05-2022,1.0
344,Louise Gerber,Twitch,3.1,PyCharm,6.9,14-05-2022,2.5
2666,Jimmy Williamson,Twitch,3.6,Teams,6.4,14-05-2022,0.5
2994,Jeanne Taylor,Яндекс.Музыка,2.0,PyCharm,8.0,14-05-2022,2.0
1686,Dorthea Guyton,Twitch,3.4,Git,6.6,14-05-2022,1.0
780,Alice Washington,Twitch,2.4,PgAdmin4,7.6,14-05-2022,1.0
601,Marvin Hansen,Яндекс.Музыка,2.5,PgAdmin4,7.5,14-05-2022,0.5
2382,Nellie Alexander,Twitch,2.7,Git,7.3,14-05-2022,1.0
2125,Scott Self,Twitch,3.3,PyCharm,6.7,14-05-2022,2.5
2188,Wendy Orr,YouTube,3.6,PyCharm,6.4,14-05-2022,3.0
1448,Lachelle Armstrong,YouTube,3.4,Teams,6.6,14-05-2022,1.5
718,Louis Stater,Яндекс.Музыка,6.2,PgAdmin4,3.8,14-05-2022,1.0
646,Randy Balch,YouTube,6.6,Teams,3.4,14-05-2022,1.0
53,Sandra Cox,Яндекс.Музыка,3.1,Teams,6.9,14-05-2022,1.0
884,Michael Cuneo,Яндекс.Музыка,3.9,Teams,6.1,14-05-2022,2.0
2327,Lyndon Falls,Яндекс.Музыка,3.5,PgAdmin4,6.5,14-05-2022,0.0
1732,Irene Semmes,YouTube,2.8,Git,7.2,15-05-2022,1.0
2901,Amanda Leatham,YouTube,3.1,PyCharm,6.9,15-05-2022,0.5
185,Yvette Dugas,Яндекс.Музыка,3.2,PyCharm,6.8,15-05-2022,0.0
465,Dorathy Lander,Twitch,3.7,PyCharm,6.3,15-05-2022,0.5
330,Louise Gerber,Twitch,2.7,PyCharm,7.3,15-05-2022,1.0
2451,Donnie Flores,Яндекс.Музыка,3.2,PyCharm,6.8,15-05-2022,0.5
690,Louis Stater,Twitch,2.1,PyCharm,7.9,15-05-2022,0.5
292,Lisa Bailes,Яндекс.Музыка,3.3,Git,6.7,15-05-2022,2.0
1498,Natasha Andrews,Яндекс.Музыка,3.2,Teams,6.8,15-05-2022,1.0
1407,Anthony Hankerson,YouTube,3.9,PyCharm,6.1,15-05-2022,1.0
211,Salvatore Ketron,Яндекс.Музыка,4.0,PgAdmin4,6.0,15-05-2022,0.5
1962,Curtis Davis,Twitch,3.0,Teams,7.0,15-05-2022,1.0
2673,George Chausse,Яндекс.Музыка,3.9,PgAdmin4,6.1,15-05-2022,0.5
2617,Larry Williamson,YouTube,7.7,Git,2.3,15-05-2022,0.5
1428,Vincent Robertson,YouTube,2.2,Git,7.8,15-05-2022,0.5
2350,Sarah Harwood,Twitch,2.0,PyCharm,8.0,15-05-2022,1.0
1580,John Galvin,YouTube,8.3,Teams,1.7,16-05-2022,1.0
304,David Orr,Twitch,4.0,PyCharm,6.0,16-05-2022,1.5
2993,Jeanne Taylor,Twitch,3.7,Teams,6.3,16-05-2022,1.5
936,Glenda Boswell,Яндекс.Музыка,3.8,PyCharm,6.2,16-05-2022,1.5
1273,Lois Harrington,YouTube,3.8,Git,6.2,16-05-2022,0.5
867,Lacie Jennings,YouTube,3.2,PgAdmin4,6.8,16-05-2022,1.5
1822,Carol Chapman,YouTube,2.5,PyCharm,7.5,16-05-2022,1.5
534,Kenneth Harvey,Яндекс.Музыка,2.6,Teams,7.4,16-05-2022,1.0
2494,Michelle Robbins,Яндекс.Музыка,3.1,PyCharm,6.9,16-05-2022,1.5
1420,Vincent Robertson,Twitch,3.7,Teams,6.3,16-05-2022,1.5
754,William Dixon,Яндекс.Музыка,3.9,Git,6.1,16-05-2022,0.0
1540,Thomas Poore,Яндекс.Музыка,2.6,PgAdmin4,7.4,16-05-2022,1.0
0,Paul Glass,YouTube,4.0,Git,6.0,16-05-2022,1.0
242,Lynne Dozier,Twitch,8.7,PgAdmin4,1.3,16-05-2022,0.5
90,Lisa Johnston,Яндекс.Музыка,2.9,PyCharm,7.1,16-05-2022,1.0
2659,Jimmy Williamson,Twitch,2.9,PyCharm,7.1,17-05-2022,2.0
2684,George Chausse,Яндекс.Музыка,3.7,PyCharm,6.3,17-05-2022,0.0
2749,Marvin Wilson,YouTube,2.5,Teams,7.5,17-05-2022,1.0
1405,Anthony Hankerson,Яндекс.Музыка,2.1,Git,7.9,17-05-2022,0.5
1596,Jerry Joy,Яндекс.Музыка,2.6,Git,7.4,17-05-2022,0.5
2902,Amanda Leatham,Яндекс.Музыка,8.0,PgAdmin4,2.0,17-05-2022,0.5
251,Lynne Dozier,Twitch,3.9,PgAdmin4,6.1,17-05-2022,1.0
28,Paul Glass,Яндекс.Музыка,2.7,Git,7.3,17-05-2022,1.5
1568,John Galvin,Яндекс.Музыка,2.5,Teams,7.5,17-05-2022,1.0
1715,Irene Semmes,Twitch,2.2,Teams,7.8,17-05-2022,0.0
536,Kenneth Harvey,YouTube,3.8,Teams,6.2,17-05-2022,1.0
331,Louise Gerber,YouTube,2.3,PgAdmin4,7.7,17-05-2022,0.5
1233,Tonya Rhodes,YouTube,2.6,PyCharm,7.4,17-05-2022,0.5
720,Brent Degan,Яндекс.Музыка,3.3,Teams,6.7,17-05-2022,0.5
2632,Larry Williamson,Twitch,2.6,Git,7.4,17-05-2022,0.5
2133,Allison Sharkey,YouTube,3.3,PgAdmin4,6.7,17-05-2022,1.0
2232,Joseph Pike,YouTube,2.9,Git,7.1,17-05-2022,1.5
35,Sandra Cox,Twitch,3.3,PyCharm,6.7,17-05-2022,0.5
2848,Bruce Makela,Twitch,3.0,PgAdmin4,7.0,17-05-2022,1.0
2320,Lyndon Falls,YouTube,3.0,PgAdmin4,7.0,17-05-2022,0.5
1828,Carol Chapman,Яндекс.Музыка,2.6,PgAdmin4,7.4,17-05-2022,0.5
2299,Robert Bennett,YouTube,2.7,Teams,7.3,17-05-2022,1.0
796,Alice Washington,Яндекс.Музыка,2.6,PyCharm,7.4,18-05-2022,2.5
273,Lisa Bailes,Яндекс.Музыка,2.1,PgAdmin4,7.9,18-05-2022,0.5
1302,Ralph Roache,YouTube,7.1,PgAdmin4,2.9,18-05-2022,2.0
398,Rose Vanatta,YouTube,3.4,PgAdmin4,6.6,18-05-2022,1.0
1077,Rogelio Degeyter,Яндекс.Музыка,2.8,PyCharm,7.2,18-05-2022,1.5
1519,Linda Valdez,Яндекс.Музыка,2.1,PgAdmin4,7.9,18-05-2022,0.0
2095,Rafael Lampe,Яндекс.Музыка,2.6,PyCharm,7.4,18-05-2022,1.5
2545,Megan Elizondo,Twitch,3.9,Git,6.1,18-05-2022,1.0
1335,Steve Wolcott,Twitch,3.7,Git,6.3,18-05-2022,1.5
2758,Marvin Wilson,YouTube,3.8,PgAdmin4,6.2,18-05-2022,0.5
2886,Amanda Leatham,Яндекс.Музыка,3.1,PgAdmin4,6.9,18-05-2022,2.0
133,John Vest,YouTube,3.6,Git,6.4,18-05-2022,1.0
2679,George Chausse,YouTube,3.2,PgAdmin4,6.8,18-05-2022,0.5
824,Janel Peeler,YouTube,3.6,Teams,6.4,18-05-2022,0.5
1773,Joe Gordon,YouTube,2.7,Teams,7.3,18-05-2022,2.5
1290,Ralph Roache,Twitch,2.5,Teams,7.5,19-05-2022,0.5
1252,Tonya Rhodes,Twitch,4.0,PgAdmin4,6.0,19-05-2022,0.0
2136,Allison Sharkey,Twitch,3.3,PyCharm,6.7,19-05-2022,0.5
2024,Ruby Dicus,YouTube,3.9,PyCharm,6.1,19-05-2022,0.5
1718,Irene Semmes,YouTube,2.2,PyCharm,7.8,19-05-2022,1.0
1892,Ray Zanola,Twitch,2.2,Teams,7.8,19-05-2022,0.5
1636,David Lott,YouTube,2.5,PyCharm,7.5,19-05-2022,0.5
1653,David Herman,Яндекс.Музыка,6.8,Teams,3.2,19-05-2022,0.5
1268,Lois Harrington,YouTube,3.1,PyCharm,6.9,19-05-2022,1.0
